	param_00	param_01	param_02	param_03	param_04	param_05	param_06	param_07	param_08	param_09	param_10	param_11	param_12	param_13	param_14	param_15	param_16	param_17	param_18	param_19
000000.txt	2.26	0.040000000000000036	0.15000000000000013	0.49	0.050000000000000044	3.6000000000000005	0.13000000000000012	0.08000000000000007	0.050000000000000044	0.06000000000000005	0.75	0.09000000000000008	0.25	0.050000000000000044	0.020000000000000018	0.06000000000000005	0.020000000000000018	0.3800000000000001	58.62	0.17000000000000015
000001.txt	0.6999999999999998	0.05999999999999994	300.02000000000004	400	400	31.12	0.09999999999999998	0.09000000000000008	20.080000000000002	3.15	9.9	7.82	0.26	302.7	0.20999999999999996	5.16	3.83	300.02	400	22.49
000002.txt	15.78	2.57	300.02	400	300.01	24.07	0.10999999999999988	0.6000000000000001	400	0.79	7.26	4.050000000000001	0.3400000000000001	4.4	6.6	0.27	5.2	300.02000000000004	300.47999999999996	8.23
000003.txt	2.63	0.13000000000000012	300.02	400	106.96000000000001	14.84	0.32000000000000006	0.15000000000000013	119.06	2.74	4.21	3.13	400	300.02000000000004	0.09999999999999987	4.609999999999999	2.22	300.02000000000004	400	0.73
000004.txt	51.809999999999995	2.41	300.02000000000004	400	300.04	21.310000000000002	7.03	1.79	400	3.6999999999999997	7.6499999999999995	6.41	0.6200000000000001	300.04	3.57	3.58	0.2100000000000002	300.01	300.02	37.77
000005.txt	6.4	0.06000000000000005	0.14000000000000012	62.63	0.15000000000000013	9.0	0.15000000000000013	0.1299999999999999	0.06000000000000005	0.07000000000000006	1.22	0.14000000000000012	0.3999999999999999	0.09999999999999987	3.33	0.7499999999999998	0.040000000000000036	5.12	98.67	0.09000000000000008
000006.txt	1.92	0.10000000000000009	300.02	400	400	44.010000000000005	15.610000000000001	0.16999999999999993	101.71000000000001	2.6100000000000003	8.200000000000001	149.8	69.2	83.83000000000001	3.5700000000000003	0.08000000000000007	0.2799999999999999	300.02	300.02000000000004	27.47
000007.txt	25.31	0.08000000000000007	0.13000000000000012	400	3.1300000000000003	11.02	0.27	0.16000000000000014	0.07000000000000006	2.32	3.73	2.2	0.4900000000000002	2.2	0.030000000000000027	0.13000000000000012	2.3100000000000005	300.01	300.01	0.10000000000000009
000008.txt	7.680000000000001	2.32	300.02	2.75	3.3199999999999994	9.270000000000001	0.14000000000000012	0.1299999999999999	0.17000000000000015	2.31	4.54	2.36	0.44999999999999996	2.7300000000000004	6.98	0.26	2.12	300.02	6.05	0.08000000000000007
000009.txt	22.07	0.08000000000000007	300.02000000000004	400	400	54.13	0.33000000000000007	0.20000000000000007	400	2.16	4.06	4.35	0.42000000000000015	300.02000000000004	2.53	0.4600000000000002	0.040000000000000036	300.03	300.01	0.16999999999999993
000010.txt	7.85	0.06000000000000005	300.02	400	2.75	5.7	0.16000000000000014	0.09999999999999987	0.49	0.06000000000000005	0.9099999999999999	0.11999999999999988	0.33000000000000007	0.19999999999999996	0.07999999999999985	0.08000000000000007	0.040000000000000036	3.9399999999999995	100.80000000000001	0.07999999999999985
000011.txt	5.46	0.27	300.02	400	300.02	59.61	5.16	0.22999999999999998	21.919999999999998	2.5	5.699999999999999	44.74	53.019999999999996	300.02000000000004	7.3500000000000005	24.29	2.62	300.03	300.01	300.01
000012.txt	2.66	0.1299999999999999	300.03	400	400	89.83	0.20999999999999996	0.20999999999999996	400	1.9599999999999997	7.639999999999999	2.78	0.6199999999999999	300.02000000000004	3.04	1.64	0.1200000000000001	300.02000000000004	400	65.14
000013.txt	16.2	3.5999999999999996	300.03	400	300.04	36.36	6.75	0.71	217.94	2.07	6.9399999999999995	400	400	300.02000000000004	7.4	11.33	2.6300000000000003	300.03000000000003	300.01	31.11
000014.txt	32.11	0.19000000000000006	300.03	400	400	142.77	41.54	0.12	300.01000000000005	3.36	11.71	99.57000000000001	47.49	133.54000000000002	5.18	0.8200000000000001	0.15000000000000002	300.02	300.02000000000004	31.16
000015.txt	400	0.16000000000000003	300.02	400	300.02000000000004	77.89	20.15	27.01	121.64	2.77	6.86	300.01	400	300.02	9.14	15.859999999999998	5.109999999999999	300.02	300.01	300.01
000016.txt	31.78	0.040000000000000036	300.02000000000004	400	12.45	21.05	0.17999999999999994	0.15000000000000002	73.33	2.27	3.9200000000000004	2.5599999999999996	0.3400000000000001	2.42	9.45	2.9	2.1799999999999997	300.03000000000003	400	2.57
000017.txt	21.36	2.46	300.02	3.66	0.27	6.23	0.17999999999999994	0.15000000000000013	0.13000000000000012	0.08000000000000007	0.8899999999999999	0.14000000000000012	0.40000000000000013	0.09000000000000008	0.030000000000000027	0.09999999999999987	0.040000000000000036	5.33	400	0.5800000000000001
000018.txt	0.020000000000000018	2.3200000000000003	2.59	2.87	2.69	13.66	0.16999999999999993	0.08999999999999986	0.050000000000000044	2.24	0.8200000000000001	0.10000000000000009	0.32000000000000006	0.07000000000000006	0.020000000000000018	0.07000000000000006	0.029999999999999805	0.4700000000000002	1.4000000000000001	0.06999999999999984
000019.txt	22.19	0.040000000000000036	300.02000000000004	400	300.01	23.99	0.06999999999999995	0.17000000000000004	400	0.77	6.91	64.21000000000001	0.31999999999999995	21.75	2.49	0.040000000000000036	0.09000000000000008	300.02	400	2.58
000020.txt	4.619999999999999	4.140000000000001	300.02000000000004	400	2.76	18.65	0.17999999999999994	0.14000000000000012	0.04999999999999982	2.6	3.96	2.4299999999999997	0.4900000000000002	0.10000000000000009	0.040000000000000036	0.1100000000000001	2.29	300.02	302.75	0.3999999999999999
000021.txt	36.41	2.26	300.01	400	2.63	10.709999999999999	0.14000000000000012	0.1299999999999999	0.3500000000000001	2.29	3.54	2.3400000000000003	0.3999999999999999	2.6399999999999997	3.12	3.4699999999999998	2.5599999999999996	300.01	400	0.08999999999999986
000022.txt	0.030000000000000027	4.300000000000001	4.27	15.340000000000002	4.159999999999999	31.28	0.11999999999999988	0.1100000000000001	0.05999999999999983	3.4899999999999993	5.83	0.10999999999999988	0.30999999999999983	0.07999999999999985	0.020000000000000018	0.07000000000000006	2.37	3.3699999999999997	400	0.5599999999999998
000023.txt	3.8099999999999996	1.9799999999999998	300.02	400	31.87	28.759999999999998	0.08999999999999986	0.15000000000000002	1.1	2.54	4.61	2.18	0.32999999999999985	0.10000000000000009	6.42	0.040000000000000036	2.05	300.01	400	0.06000000000000005
000024.txt	14.09	2.87	300.02000000000004	400	300.01	36.21	0.1499999999999999	0.18999999999999995	400	3.2	6.46	9.799999999999999	0.43999999999999995	3.79	11.569999999999999	0.06000000000000005	4.95	300.03	300.01	1.7000000000000002
000025.txt	56.9	0.06999999999999995	300.01000000000005	400	300.02	30.400000000000002	0.10999999999999999	0.13	13.86	1.25	5.260000000000001	2.2299999999999995	0.3899999999999999	86.96000000000001	4.87	12.83	0.13	300.03000000000003	300.02	0.13
000026.txt	13.61	1.81	300.02	400	287.5	15.649999999999999	7.690000000000001	0.17999999999999994	400	4.1000000000000005	6.91	31.13	400	300.03000000000003	11.73	4.65	4.0	300.02	400	5.359999999999999
000027.txt	10.870000000000001	2.5300000000000002	300.02	400	400	42.1	0.10000000000000009	0.13	0.5000000000000001	3.7299999999999995	6.61	147.34	400	3.9800000000000004	0.09999999999999998	2.5	3.7299999999999995	300.02000000000004	300.01000000000005	0.08000000000000007
000028.txt	50.13	0.09999999999999987	300.02	400	300.01	47.31	0.41999999999999993	0.19999999999999996	37.64	2.82	4.6	42.35	0.34999999999999987	300.02000000000004	6.99	4.73	2.2299999999999995	300.08000000000004	300.01	5.38
