	varis	cons	oc_mean	oc_std	oc_min	oc_max	nvpc_mean	nvpc_std	nvpc_min	nvpc_max	b_nvpc_mean	b_nvpc_std	b_nvpc_min	b_nvpc_max	vic_mean	vic_std	vic_min	vic_max	lin_nnz	nrows_mean	nrows_std	nrows_min	nrows_max	naofc_mean	naofc_std	naofc_min	naofc_max	naofc_root_mean	naofc_root_std	naofc_root_min	naofc_root_max
1500_inst_sort_bids_arbitrary/000000	202	1113	630.0543594059405	534.1809696629855	19.004	2514.48	1.912848158131177	1.5812941697242449	0	8	997.5974842767296	581.007809969422	0	2129	10.53960396039604	7.373538532423796	1	32	0.009469545337283055	0.42414279004227334	0.2641008664184102	0.125	1.0	54.407810930217394	15.142545973555483	8.963633333333332	84.66833333333334	175.69696997011673	91.97904143472141	15.525468353751307	444.5014647894875
1500_inst_sort_bids_arbitrary/000001	202	459	818.130216980198	738.8535410059358	2.57273	3233.79	5.254901960784314	2.4757233827024985	0	13	1219.0871459694988	703.3990812463211	0	2412	11.94059405940594	9.710046889207657	1	41	0.026014366142496602	0.1890547263681592	0.110229033751107	0.07692307692307693	1.0	62.83143526229585	14.947865936688657	2.57273	99.0093	211.82946992112394	112.02992212709361	2.57273	505.0331494577554
1500_inst_sort_bids_arbitrary/000002	203	905	833.2107904926108	631.3767111955503	8.19455	2979.17	3.0353591160220996	1.9102855356598998	0	14	1329.5038674033149	758.4492812367073	0	2747	13.532019704433498	8.582315997491465	1	38	0.014952507960699997	0.31124863487440846	0.1977784535604885	0.07142857142857142	1.0	56.70331090558802	15.025424116997	4.097275	101.742	207.56844682090386	101.29286585572694	5.794421873772222	483.2851911901339
1500_inst_sort_bids_arbitrary/000003	203	1180	878.3623837438423	937.2575513365928	27.8157	4438.71	2.5559322033898306	1.7780368839802292	0	11	1464.7025423728815	829.454878160634	0	3016	14.857142857142858	13.974668940420102	1	66	0.012590799031476998	0.34549071618037136	0.21476738450521682	0.09090909090909091	1.0	55.198359084199225	12.472058401055975	9.2719	98.1418	202.7043038147205	111.5811816405999	16.059401882697873	546.3674319248739
1500_inst_sort_bids_arbitrary/000004	203	1193	936.0210911330049	795.7751516994605	12.9579	3041.35	2.5129924559932943	1.6859189379123471	0	9	1478.1575859178542	833.3601832008192	0	2998	14.768472906403941	11.044491083793988	1	42	0.012379273182232977	0.35957304869913276	0.22330378122440525	0.1111111111111111	1.0	58.262682112242324	13.263837748373504	4.3193	88.663	218.7250413970088	114.35548424784413	7.481247053132252	483.043481272649
1500_inst_sort_bids_arbitrary/000005	205	1210	873.4292736585365	632.7923756719368	35.7465	2780.23	2.1504132231404958	1.646769098672043	0	10	1259.5504132231406	714.1903543318635	0	2602	12.692682926829269	8.132975429401363	1	36	0.010489820600685346	0.4012298232129131	0.25361380644674403	0.1	1.0	64.9651004193694	12.688369191396143	23.08666666666667	88.73466666666667	227.90230131663625	97.15010907867719	35.7465	463.37166666666667
1500_inst_sort_bids_arbitrary/000006	205	538	988.4323956097561	965.4118142248184	55.8572	4271.0	5.444237918215613	2.555465584384368	0	16	1484.0706319702601	852.8236955605007	0	2929	14.28780487804878	13.222829988429755	1	58	0.026557258137637138	0.1812905428473882	0.09983684510484211	0.0625	1.0	64.76491965711755	14.588222070032838	18.619066666666665	118.732	234.08662702613327	122.44031101329573	32.24916945617876	560.809774743875
1500_inst_sort_bids_arbitrary/000007	205	1239	949.6308868292683	703.9885998351742	29.6317	3866.7	2.2203389830508473	1.6510748096807892	0	10	1337.0766747376917	753.0740264208487	0	2751	13.419512195121952	8.692435846030188	1	46	0.010830921868540719	0.39076699382042895	0.24640626647631397	0.1	1.0	66.2032373008409	14.56774385757039	14.476433333333333	114.164	239.54534768411457	106.51162371490537	25.073918045717015	570.1138118641408
1500_inst_sort_bids_arbitrary/000008	205	1164	913.4258541463415	956.9329602888422	26.4889	4868.26	2.3316151202749142	1.724338088410093	0	9	1311.135738831615	764.9114721554157	0	2714	13.239024390243902	12.415851625745995	1	65	0.011373732294023971	0.3739867354458364	0.24094654567438614	0.1111111111111111	1.0	63.0120930416251	16.59651163791563	24.4388	128.07	221.46134846121961	125.7564517426986	26.4889	603.83333701126
1500_inst_sort_bids_arbitrary/000009	205	915	833.0726917073171	686.935833076247	11.7426	3148.24	2.963934426229508	1.9320542224977295	0	11	1303.4568306010929	756.558859236246	0	2712	13.229268292682926	9.704007760654495	1	43	0.014458216713314674	0.3089970501474926	0.1999676776683975	0.09090909090909091	1.0	59.306075555581096	13.642076603360747	7.64325	87.37385714285713	210.25560206410137	98.9233423757894	10.809187810608158	480.1020990639193
1500_inst_sort_bids_arbitrary/000010	206	1109	687.4271247572816	550.0020808081796	30.9239	2690.02	2.073940486925158	1.6758900001145296	0	9	1098.234445446348	634.3543329362285	0	2300	11.16504854368932	7.539291662889812	1	37	0.010067672266626979	0.3973913043478261	0.24872603470650376	0.1111111111111111	1.0	56.96348129337771	15.685461281578203	7.7703	130.282	187.8469585585638	93.24908937372236	15.5406	442.23656383115724
