,nvars,nclauses,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-entropy,VG-mean,VG-coeff-variation,CG-mean,CG-coeff-variation,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-entropy
SWGCP_only_5000/SWlin2006.15100.cnf,605,4840,1,0,0,0.004958678,0.881917104,0.376770161,0,0.875,0.875,0.004958678,0.032141217,0.484132421,0.166845826,0.00560369,0.484132421,0.002892562,0.027549615,0.484132421,0.011157025,0.035712464,0.005947767,1.142215502,1.593372174,0.110119948,0.449768336,1.31435926
SWGCP_only_5000/SWlin2006.15101.cnf,965,7720,1,0,0,0.003108808,0.881917104,0.376770161,0,0.875,0.875,0.003108808,0.032854944,0.497371128,0.166848868,0.005577932,0.497371128,0.001813472,0.02816138,0.497371128,0.006994819,0.036505493,0.003729127,1.142275174,1.614472338,0.110120081,0.449789405,1.298153235
SWGCP_only_5000/SWlin2006.15102.cnf,2230,17840,1,0,0,0.001345291,0.881917104,0.376770161,0,0.875,0.875,0.001345291,0.032057031,0.515034487,0.16683802,0.00536367,0.515034487,0.000784753,0.027477455,0.515034487,0.003026906,0.035618923,0.001613621,1.142231165,1.622469452,0.110117843,0.449634948,1.28631637
SWGCP_only_5000/SWlin2006.15103.cnf,655,5240,1,0,0,0.004580153,0.881917104,0.376770161,0,0.875,0.875,0.004580153,0.032561028,0.533139658,0.166844606,0.005480842,0.533139658,0.002671756,0.027909452,0.533139658,0.010305344,0.03617892,0.005493925,1.142208497,1.623434941,0.110115264,0.449713185,1.290680862
SWGCP_only_5000/SWlin2006.15104.cnf,1025,8200,1,0,0,0.002926829,0.881917104,0.376770161,0,0.875,0.875,0.002926829,0.03292432,0.541340296,0.166848599,0.005541928,0.541340296,0.001707317,0.028220846,0.541340296,0.006585366,0.036582578,0.003510857,1.142284263,1.666252183,0.110120158,0.449774401,1.30004858
SWGCP_only_5000/SWlin2006.15105.cnf,1970,15760,1,0,0,0.001522843,0.881917104,0.376770161,0,0.875,0.875,0.001522843,0.033586181,0.530006184,0.166858269,0.005733447,0.530006184,0.000888325,0.028788156,0.530006184,0.003426396,0.037317979,0.001826815,1.142300478,1.645519162,0.110120857,0.449913063,1.318398168
SWGCP_only_5000/SWlin2006.15106.cnf,2430,19440,1,0,0,0.001234568,0.881917104,0.376770161,0,0.875,0.875,0.001234568,0.03251745,0.486178422,0.166840704,0.005386181,0.486178422,0.000720165,0.0278721,0.486178422,0.002777778,0.0361305,0.001480868,1.14228427,1.60114826,0.110119305,0.44967107,1.284605734
SWGCP_only_5000/SWlin2006.15107.cnf,2010,16080,1,0,0,0.001492537,0.881917104,0.376770161,0,0.875,0.875,0.001492537,0.032726652,0.521718241,0.166846918,0.005531718,0.521718241,0.000870647,0.028051416,0.521718241,0.003358209,0.036362946,0.001790333,1.142257203,1.632467479,0.110118835,0.449756307,1.300506167
SWGCP_only_5000/SWlin2006.15108.cnf,2245,17960,1,0,0,0.001336303,0.881917104,0.376770161,0,0.875,0.875,0.001336303,0.03290369,0.512858149,0.166853043,0.005691828,0.512858149,0.00077951,0.028203163,0.512858149,0.003006682,0.036559655,0.00160295,1.142252514,1.627904014,0.110120031,0.449851728,1.314853721
SWGCP_only_5000/SWlin2006.15109.cnf,1945,15560,1,0,0,0.001542416,0.881917104,0.376770161,0,0.875,0.875,0.001542416,0.031048515,0.490126093,0.166830256,0.005289522,0.490126093,0.000899743,0.026613013,0.490126093,0.003470437,0.03449835,0.001849917,1.142189797,1.593444189,0.110118941,0.449553498,1.28668676
