	CPU_Param_1	CPU_Param_2	CPU_Param_3	CPU_Param_4	CPU_Param_5	CPU_Param_6	CPU_Param_7	CPU_Param_8	CPU_Param_9	CPU_Param_10	CPU_Param_11	CPU_Param_12	CPU_Param_13	CPU_Param_14	CPU_Param_15	CPU_Param_16	CPU_Param_17	CPU_Param_18	CPU_Param_119	CPU_Param_20
SWGCP_only_5000/SWlin2006.15100.cnf	0.04	0.02	0.04	0.06	0.18	0.1	0.02	0.04	0.1	0.02	0.08	0.2	0.02	0.0	0.06	0.04	0.0	0.06	0.02	0.48
SWGCP_only_5000/SWlin2006.15101.cnf	0.12	0.48	0.06	0.06	0.22	0.24	0.08	0.2	0.28	0.24	0.08	0.38	0.46	0.34	0.06	0.32	0.14	0.06	0.56	0.78
SWGCP_only_5000/SWlin2006.15102.cnf	0.2	0.64	0.1	0.1	0.42	0.36	0.1	0.4	0.38	0.12	0.1	0.58	0.82	0.4	0.1	0.5	0.28	0.08	0.7	1.76
SWGCP_only_5000/SWlin2006.15103.cnf	0.12	0.18	0.06	0.04	0.18	0.16	0.08	0.16	0.18	0.18	0.06	0.2	0.22	0.18	0.06	0.2	0.12	0.08	0.3	0.56
SWGCP_only_5000/SWlin2006.15104.cnf	0.16	0.48	0.06	0.06	0.3	0.24	0.02	0.22	0.3	0.24	0.1	0.26	0.04	0.18	0.06	0.32	0.2	0.08	0.6	0.84
SWGCP_only_5000/SWlin2006.15105.cnf	0.22	0.26	0.06	0.12	0.34	0.4	0.08	0.34	0.28	0.32	0.12	0.48	0.32	0.28	0.1	0.42	0.22	0.1	0.64	1.62
SWGCP_only_5000/SWlin2006.15106.cnf	0.26	0.88	0.1	0.12	0.42	0.4	0.14	0.4	0.48	0.22	0.14	0.76	0.68	0.5	0.12	0.6	0.32	0.12	0.8	1.94
SWGCP_only_5000/SWlin2006.15107.cnf	0.22	0.34	0.1	0.1	0.36	0.42	0.12	0.4	0.38	0.36	0.12	0.48	0.68	0.62	0.12	0.5	0.3	0.12	0.82	1.6
SWGCP_only_5000/SWlin2006.15108.cnf	0.26	0.5	0.1	0.12	0.4	0.36	0.14	0.36	0.32	0.34	0.12	0.5	0.62	0.48	0.12	0.48	0.24	0.12	0.94	1.8
SWGCP_only_5000/SWlin2006.15109.cnf	0.24	0.42	0.06	0.1	0.36	0.32	0.1	0.3	0.56	0.44	0.14	0.62	0.92	0.56	0.1	0.56	0.26	0.1	0.64	1.54
SWGCP_only_5000/SWlin2006.15110.cnf	0.16	0.58	0.08	0.08	0.3	0.26	0.08	0.26	0.34	0.24	0.1	0.4	0.7	0.4	0.06	0.38	0.22	0.08	0.64	0.94
SWGCP_only_5000/SWlin2006.15111.cnf	0.22	0.26	0.1	0.1	0.36	0.38	0.12	0.3	0.26	0.34	0.12	0.6	0.36	0.3	0.12	0.4	0.22	0.1	0.84	1.56
SWGCP_only_5000/SWlin2006.15112.cnf	0.14	0.24	0.06	0.06	0.2	0.2	0.08	0.16	0.22	0.18	0.06	0.26	0.28	0.24	0.04	0.26	0.12	0.06	0.44	0.64
SWGCP_only_5000/SWlin2006.15113.cnf	0.22	0.08	0.08	0.08	0.06	0.32	0.1	0.14	0.34	0.34	0.08	0.42	0.16	0.28	0.08	0.26	0.24	0.06	0.26	1.12
SWGCP_only_5000/SWlin2006.15114.cnf	0.1	0.0	0.04	0.06	0.22	0.04	0.08	0.1	0.0	0.02	0.08	0.04	0.0	0.18	0.06	0.06	0.04	0.06	0.32	0.68
SWGCP_only_5000/SWlin2006.15115.cnf	0.2	0.5	0.06	0.1	0.36	0.34	0.1	0.3	0.38	0.38	0.12	0.6	0.78	0.5	0.1	0.38	0.28	0.08	0.68	1.3
SWGCP_only_5000/SWlin2006.15116.cnf	0.0	0.02	0.08	0.06	0.04	0.18	0.08	0.14	0.02	0.06	0.06	0.04	0.06	0.04	0.06	0.02	0.04	0.06	0.4	0.66
SWGCP_only_5000/SWlin2006.15117.cnf	0.2	0.44	0.08	0.08	0.26	0.36	0.1	0.28	0.42	0.38	0.1	0.48	0.32	0.28	0.08	0.42	0.22	0.1	0.56	1.32
SWGCP_only_5000/SWlin2006.15118.cnf	0.12	0.3	0.06	0.04	0.16	0.16	0.08	0.16	0.22	0.2	0.06	0.28	0.38	0.26	0.06	0.22	0.14	0.06	0.34	0.5
SWGCP_only_5000/SWlin2006.15119.cnf	0.12	0.26	0.06	0.04	0.18	0.14	0.06	0.16	0.18	0.18	0.06	0.22	0.26	0.24	0.06	0.2	0.12	0.06	0.32	0.5
SWGCP_only_5000/SWlin2006.15120.cnf	0.18	0.32	0.06	0.08	0.22	0.24	0.08	0.2	0.3	0.28	0.08	0.34	0.44	0.26	0.08	0.34	0.2	0.08	0.56	0.82
SWGCP_only_5000/SWlin2006.15121.cnf	0.06	0.6	0.08	0.08	0.28	0.3	0.08	0.28	0.36	0.3	0.1	0.52	0.72	0.46	0.08	0.36	0.22	0.08	0.56	1.04
SWGCP_only_5000/SWlin2006.15122.cnf	0.26	0.84	0.1	0.12	0.42	0.36	0.12	0.38	0.36	0.38	0.1	0.56	0.7	0.46	0.12	0.48	0.28	0.1	0.58	1.52
SWGCP_only_5000/SWlin2006.15123.cnf	0.06	0.38	0.08	0.08	0.3	0.26	0.1	0.28	0.3	0.18	0.1	0.48	0.5	0.44	0.08	0.34	0.18	0.08	0.68	0.98
SWGCP_only_5000/SWlin2006.15124.cnf	0.16	0.36	0.06	0.06	0.22	0.24	0.06	0.2	0.24	0.24	0.06	0.32	0.38	0.3	0.06	0.3	0.16	0.1	0.34	0.72
SWGCP_only_5000/SWlin2006.15125.cnf	0.22	0.26	0.1	0.08	0.36	0.3	0.12	0.28	0.3	0.34	0.12	0.42	0.5	0.32	0.1	0.42	0.22	0.08	0.62	1.26
SWGCP_only_5000/SWlin2006.15126.cnf	0.2	0.34	0.08	0.08	0.28	0.32	0.1	0.24	0.32	0.3	0.12	0.38	0.44	0.3	0.1	0.36	0.22	0.1	0.72	1.26
SWGCP_only_5000/SWlin2006.15127.cnf	0.18	0.84	0.1	0.12	0.4	0.3	0.12	0.28	0.14	0.4	0.1	0.58	0.68	0.44	0.1	0.52	0.22	0.12	0.64	1.62
SWGCP_only_5000/SWlin2006.15128.cnf	0.1	0.1	0.06	0.08	0.14	0.14	0.06	0.1	0.1	0.14	0.08	0.2	0.14	0.12	0.04	0.2	0.1	0.06	0.3	0.44
SWGCP_only_5000/SWlin2006.15129.cnf	0.22	0.82	0.1	0.1	0.4	0.36	0.12	0.36	0.52	0.2	0.12	0.62	1.0	0.48	0.1	0.5	0.2	0.1	0.9	1.56
SWGCP_only_5000/SWlin2006.15130.cnf	0.24	0.72	0.08	0.08	0.34	0.4	0.1	0.38	0.38	0.16	0.12	0.58	0.42	0.48	0.08	0.46	0.26	0.12	0.88	1.44
SWGCP_only_5000/SWlin2006.15131.cnf	0.14	0.06	0.04	0.06	0.02	0.16	0.06	0.0	0.0	0.0	0.06	0.26	0.02	0.16	0.04	0.2	0.1	0.08	0.06	0.46
SWGCP_only_5000/SWlin2006.15132.cnf	0.14	0.46	0.06	0.06	0.28	0.1	0.08	0.26	0.02	0.28	0.08	0.38	0.56	0.38	0.06	0.08	0.1	0.08	0.1	0.88
SWGCP_only_5000/SWlin2006.15133.cnf	0.14	0.4	0.08	0.06	0.22	0.22	0.08	0.2	0.26	0.26	0.08	0.12	0.54	0.32	0.08	0.28	0.1	0.1	0.28	0.72
SWGCP_only_5000/SWlin2006.15134.cnf	0.02	0.02	0.04	0.04	0.18	0.12	0.02	0.02	0.0	0.0	0.08	0.02	0.0	0.0	0.02	0.02	0.02	0.08	0.08	0.44
SWGCP_only_5000/SWlin2006.15135.cnf	0.14	0.16	0.06	0.04	0.22	0.22	0.08	0.16	0.22	0.22	0.06	0.34	0.2	0.16	0.06	0.28	0.14	0.1	0.36	0.72
SWGCP_only_5000/SWlin2006.15136.cnf	0.16	0.18	0.06	0.08	0.28	0.22	0.06	0.22	0.34	0.04	0.08	0.04	0.1	0.04	0.06	0.3	0.12	0.08	0.08	0.76
SWGCP_only_5000/SWlin2006.15137.cnf	0.2	0.46	0.1	0.1	0.4	0.38	0.1	0.38	0.12	0.44	0.14	0.62	0.08	0.1	0.1	0.56	0.32	0.1	0.96	1.56
SWGCP_only_5000/SWlin2006.15138.cnf	0.24	0.84	0.08	0.08	0.34	0.34	0.14	0.08	0.04	0.36	0.12	0.1	0.34	0.54	0.12	0.52	0.3	0.12	0.24	1.52
SWGCP_only_5000/SWlin2006.15139.cnf	0.28	0.52	0.1	0.12	0.42	0.5	0.12	0.4	0.44	0.56	0.14	0.72	1.08	0.54	0.12	0.52	0.26	0.1	0.84	1.88
SWGCP_only_5000/SWlin2006.15140.cnf	0.28	0.14	0.12	0.14	0.46	0.12	0.14	0.38	0.56	0.52	0.12	0.72	0.34	0.76	0.14	0.46	0.34	0.1	1.18	1.94
SWGCP_only_5000/SWlin2006.15141.cnf	0.1	0.32	0.06	0.06	0.2	0.18	0.06	0.18	0.24	0.2	0.08	0.28	0.36	0.26	0.06	0.24	0.16	0.06	0.4	0.54
SWGCP_only_5000/SWlin2006.15142.cnf	0.24	0.66	0.08	0.08	0.38	0.34	0.12	0.28	0.46	0.4	0.14	0.56	0.14	0.36	0.1	0.52	0.22	0.12	0.56	1.52
SWGCP_only_5000/SWlin2006.15143.cnf	0.2	0.24	0.08	0.1	0.34	0.34	0.12	0.3	0.24	0.36	0.12	0.5	0.3	0.26	0.08	0.34	0.2	0.1	0.74	1.48
SWGCP_only_5000/SWlin2006.15144.cnf	0.16	0.38	0.04	0.06	0.2	0.22	0.06	0.16	0.28	0.22	0.08	0.34	0.46	0.3	0.06	0.28	0.16	0.1	0.42	0.66
SWGCP_only_5000/SWlin2006.15145.cnf	0.18	0.46	0.08	0.06	0.26	0.22	0.08	0.22	0.2	0.28	0.08	0.44	0.6	0.28	0.06	0.32	0.18	0.1	0.5	0.84
SWGCP_only_5000/SWlin2006.15146.cnf	0.12	0.36	0.04	0.06	0.2	0.18	0.08	0.16	0.24	0.2	0.08	0.3	0.46	0.3	0.08	0.22	0.14	0.06	0.38	0.6
SWGCP_only_5000/SWlin2006.15147.cnf	0.16	0.36	0.04	0.06	0.22	0.2	0.06	0.2	0.24	0.26	0.06	0.36	0.36	0.32	0.06	0.28	0.18	0.08	0.46	0.7
SWGCP_only_5000/SWlin2006.15148.cnf	0.14	0.72	0.1	0.08	0.36	0.38	0.1	0.32	0.46	0.42	0.12	0.22	0.2	0.5	0.1	0.38	0.24	0.1	0.94	1.44
SWGCP_only_5000/SWlin2006.15149.cnf	0.18	0.54	0.08	0.06	0.28	0.28	0.08	0.28	0.4	0.3	0.08	0.46	0.62	0.42	0.08	0.34	0.22	0.08	0.64	0.92
SWGCP_only_5000/SWlin2006.15150.cnf	0.22	0.44	0.08	0.12	0.46	0.46	0.14	0.44	0.38	0.38	0.14	0.6	0.56	0.64	0.1	0.44	0.32	0.12	1.0	1.96
SWGCP_only_5000/SWlin2006.15151.cnf	0.24	0.44	0.1	0.1	0.4	0.46	0.12	0.42	0.52	0.36	0.14	0.7	0.86	0.4	0.08	0.44	0.18	0.1	0.76	1.7
